World(robot=Robot(position=Point(x=761.0, y=469.5), angle=0.4787218193219731), goal=Point(x=719.927659372434, y=512.9685437804677), obstacles=[[Point(x=392, y=100), Point(x=397, y=545), Point(x=649, y=551), Point(x=644, y=106)]])
[Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)]
{1.2529656887054443: (Robot(position=Point(x=43.0, y=283.5), angle=1.632446608941419), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[8], right=[-10]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{2.8257827758789062: (Robot(position=Point(x=41.0, y=294.5), angle=1.0903905252622197), MotorSpeed(left=100, right=100), MotorSpeed(left=[73], right=[-20]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{2.9656805992126465: (Robot(position=Point(x=41.0, y=294.5), angle=1.0903905252622197), MotorSpeed(left=100, right=100), MotorSpeed(left=[103], right=[69]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{3.1035308837890625: (Robot(position=Point(x=43.5, y=298.5), angle=0.9697225908444951), MotorSpeed(left=100, right=100), MotorSpeed(left=[94], right=[121]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{3.2600884437561035: (Robot(position=Point(x=48.5, y=300.5), angle=1.0175020317243169), MotorSpeed(left=100, right=100), MotorSpeed(left=[102], right=[96]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{3.421856641769409: (Robot(position=Point(x=55.0, y=306.5), angle=0.9793573240445683), MotorSpeed(left=100, right=100), MotorSpeed(left=[98], right=[98]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{3.5657546520233154: (Robot(position=Point(x=57.0, y=308.5), angle=1.0135007719205449), MotorSpeed(left=100, right=100), MotorSpeed(left=[110], right=[84]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{3.7219433784484863: (Robot(position=Point(x=62.5, y=312.5), angle=0.9697225908444951), MotorSpeed(left=100, right=100), MotorSpeed(left=[107], right=[96]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{3.8657262325286865: (Robot(position=Point(x=70.0, y=317.0), angle=0.9964915136502812), MotorSpeed(left=100, right=100), MotorSpeed(left=[89], right=[94]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{4.012871026992798: (Robot(position=Point(x=75.0, y=320.5), angle=0.9393428186582158), MotorSpeed(left=100, right=100), MotorSpeed(left=[100], right=[96]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{4.154610872268677: (Robot(position=Point(x=80.0, y=325.5), angle=0.9393428186582158), MotorSpeed(left=100, right=100), MotorSpeed(left=[101], right=[108]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{4.265665054321289: (Robot(position=Point(x=85.0, y=329.5), angle=0.9793573240445683), MotorSpeed(left=100, right=100), MotorSpeed(left=[84], right=[84]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{4.437423229217529: (Robot(position=Point(x=88.0, y=331.0), angle=0.9561333278821538), MotorSpeed(left=100, right=100), MotorSpeed(left=[93], right=[86]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{4.553570032119751: (Robot(position=Point(x=93.5, y=335.0), angle=0.9590693334745), MotorSpeed(left=100, right=100), MotorSpeed(left=[101], right=[106]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{4.664068222045898: (Robot(position=Point(x=95.5, y=337.5), angle=0.9760369877027104), MotorSpeed(left=100, right=100), MotorSpeed(left=[107], right=[99]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{4.797724485397339: (Robot(position=Point(x=99.0, y=340.0), angle=0.9561333278821538), MotorSpeed(left=100, right=100), MotorSpeed(left=[103], right=[99]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{4.941653490066528: (Robot(position=Point(x=103.5, y=343.0), angle=0.9928943733380864), MotorSpeed(left=100, right=100), MotorSpeed(left=[88], right=[96]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{5.095215082168579: (Robot(position=Point(x=107.5, y=346.0), angle=0.9928943733380864), MotorSpeed(left=100, right=100), MotorSpeed(left=[91], right=[100]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{5.238208770751953: (Robot(position=Point(x=113.0, y=349.0), angle=0.9561333278821538), MotorSpeed(left=100, right=100), MotorSpeed(left=[110], right=[101]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{5.389521360397339: (Robot(position=Point(x=117.5, y=353.5), angle=0.9760369877027104), MotorSpeed(left=100, right=100), MotorSpeed(left=[107], right=[97]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{5.521192789077759: (Robot(position=Point(x=123.5, y=357.5), angle=0.9760369877027104), MotorSpeed(left=100, right=100), MotorSpeed(left=[115], right=[113]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{5.669090032577515: (Robot(position=Point(x=127.5, y=360.5), angle=0.9760369877027104), MotorSpeed(left=100, right=100), MotorSpeed(left=[104], right=[98]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{5.797390460968018: (Robot(position=Point(x=132.0, y=365.0), angle=0.9561333278821538), MotorSpeed(left=100, right=100), MotorSpeed(left=[103], right=[110]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{5.925539970397949: (Robot(position=Point(x=137.5, y=367.5), angle=0.9760369877027104), MotorSpeed(left=100, right=100), MotorSpeed(left=[114], right=[92]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{6.076993465423584: (Robot(position=Point(x=142.0, y=371.0), angle=0.9964915136502812), MotorSpeed(left=100, right=100), MotorSpeed(left=[89], right=[102]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{6.226603269577026: (Robot(position=Point(x=145.5, y=373.5), angle=0.9760369877027104), MotorSpeed(left=100, right=100), MotorSpeed(left=[100], right=[113]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{6.387207269668579: (Robot(position=Point(x=152.0, y=379.5), angle=0.9393428186582158), MotorSpeed(left=100, right=100), MotorSpeed(left=[96], right=[96]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{6.521756172180176: (Robot(position=Point(x=156.5, y=382.5), angle=0.9760369877027104), MotorSpeed(left=100, right=100), MotorSpeed(left=[101], right=[85]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{6.685033321380615: (Robot(position=Point(x=161.5, y=386.0), angle=0.9201694349454472), MotorSpeed(left=100, right=100), MotorSpeed(left=[95], right=[94]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{6.835538625717163: (Robot(position=Point(x=166.5, y=390.0), angle=0.9590693334745), MotorSpeed(left=100, right=100), MotorSpeed(left=[99], right=[94]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{6.981536865234375: (Robot(position=Point(x=170.5, y=393.0), angle=0.9590693334745), MotorSpeed(left=100, right=100), MotorSpeed(left=[106], right=[99]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{7.112621307373047: (Robot(position=Point(x=176.5, y=398.0), angle=0.9590693334745), MotorSpeed(left=100, right=100), MotorSpeed(left=[110], right=[102]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{7.230001449584961: (Robot(position=Point(x=180.5, y=401.0), angle=0.9590693334745), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-7], right=[60]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{7.377446889877319: (Robot(position=Point(x=183.5, y=404.0), angle=0.9590693334745), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-10], right=[40]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{7.529064893722534: (Robot(position=Point(x=185.0, y=403.5), angle=1.0135007719205449), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-39], right=[56]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{7.684042692184448: (Robot(position=Point(x=185.5, y=402.5), angle=1.0516502479718755), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-43], right=[51]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{7.804245710372925: (Robot(position=Point(x=187.0, y=401.5), angle=1.0801282743619511), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-45], right=[45]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{7.953684568405151: (Robot(position=Point(x=188.0, y=402.0), angle=1.1401037792371342), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-49], right=[40]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{8.082600355148315: (Robot(position=Point(x=188.5, y=400.5), angle=1.194835386674268), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-50], right=[42]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{8.23787236213684: (Robot(position=Point(x=189.0, y=399.5), angle=1.2335432390378545), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-48], right=[41]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{8.395203828811646: (Robot(position=Point(x=190.0, y=399.0), angle=1.2958863596128056), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-47], right=[41]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{8.507800102233887: (Robot(position=Point(x=190.5, y=398.0), angle=1.3347726682828496), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-50], right=[47]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{8.662858009338379: (Robot(position=Point(x=190.5, y=396.5), angle=1.397550664346082), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-46], right=[23]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{8.800961017608643: (Robot(position=Point(x=191.5, y=396.0), angle=1.4601391176389287), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-51], right=[39]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{8.95520567893982: (Robot(position=Point(x=192.0, y=395.0), angle=1.4977558473752568), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-49], right=[57]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{9.074398756027222: (Robot(position=Point(x=193.0, y=393.5), angle=1.5106280664609502), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-46], right=[41]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{9.230494976043701: (Robot(position=Point(x=190.0, y=392.0), angle=1.5951817850278447), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-48], right=[52]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{9.384586811065674: (Robot(position=Point(x=192.5, y=391.5), angle=1.6680496553586552), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-49], right=[54]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{9.50170111656189: (Robot(position=Point(x=194.0, y=391.0), angle=1.6921482900785039), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-51], right=[53]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{9.637797832489014: (Robot(position=Point(x=192.5, y=389.5), angle=1.7921107629941533), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-54], right=[59]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{9.79165244102478: (Robot(position=Point(x=193.0, y=388.5), angle=1.7776702264951298), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-48], right=[53]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{9.927034139633179: (Robot(position=Point(x=193.0, y=387.0), angle=1.8622530321286748), MotorSpeed(left=-50.0, right=50.0), MotorSpeed(left=[-49], right=[54]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{10.07235860824585: (Robot(position=Point(x=193.5, y=386.5), angle=1.9154437402890752), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[6], right=[49]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{10.202910661697388: (Robot(position=Point(x=194.0, y=385.5), angle=1.9756880621121953), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[9], right=[48]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{10.36841630935669: (Robot(position=Point(x=195.5, y=384.5), angle=1.9914596895383427), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[33], right=[60]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{10.512975454330444: (Robot(position=Point(x=197.0, y=383.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[40], right=[27]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{10.634811639785767: (Robot(position=Point(x=200.0, y=381.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[47], right=[44]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{10.762188911437988: (Robot(position=Point(x=202.5, y=380.5), angle=1.9914596895383427), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[44], right=[43]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{10.914824724197388: (Robot(position=Point(x=206.0, y=379.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[42], right=[43]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{11.05443787574768: (Robot(position=Point(x=208.0, y=378.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[46], right=[47]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{11.187970161437988: (Robot(position=Point(x=212.0, y=377.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[58], right=[58]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{11.322640895843506: (Robot(position=Point(x=214.0, y=376.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[58], right=[60]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{11.47129487991333: (Robot(position=Point(x=217.5, y=375.5), angle=1.9914596895383427), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[57], right=[58]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{11.591062068939209: (Robot(position=Point(x=220.0, y=375.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[52], right=[49]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{11.711863994598389: (Robot(position=Point(x=222.5, y=373.5), angle=1.9914596895383427), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[51], right=[52]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{11.874570608139038: (Robot(position=Point(x=225.0, y=373.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[49], right=[56]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{12.012884378433228: (Robot(position=Point(x=227.5, y=371.5), angle=1.9914596895383427), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[50], right=[52]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{12.135517120361328: (Robot(position=Point(x=232.0, y=371.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[50], right=[52]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{12.2874174118042: (Robot(position=Point(x=233.5, y=369.5), angle=2.0344439367459843), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[47], right=[50]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{12.428828477859497: (Robot(position=Point(x=237.0, y=368.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[53], right=[53]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{12.593288898468018: (Robot(position=Point(x=240.0, y=368.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[55], right=[45]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{12.737605571746826: (Robot(position=Point(x=244.0, y=367.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[50], right=[43]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{12.89542841911316: (Robot(position=Point(x=245.5, y=365.0), angle=2.0290964464353154), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[46], right=[41]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{13.016944646835327: (Robot(position=Point(x=249.5, y=364.0), angle=1.9974237302945683), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[42], right=[40]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{13.168468713760376: (Robot(position=Point(x=253.0, y=363.5), angle=1.9756880621121953), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[42], right=[45]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{13.294926881790161: (Robot(position=Point(x=255.0, y=362.5), angle=2.018738351266248), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[47], right=[46]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{13.440812826156616: (Robot(position=Point(x=257.0, y=361.0), angle=2.013170562188489), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[53], right=[50]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{13.576734066009521: (Robot(position=Point(x=261.5, y=360.5), angle=1.9914596895383427), MotorSpeed(left=50.0, right=50.0), MotorSpeed(left=[47], right=[46]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
